"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"SBWHITNZ",NA,"Southern blue whiting","Micromesistius australis","Micromesistius australis","Gadiformes","Gadidae","Codfishes","marine","finfish","Oceania","New Zealand","Campbell Island, NZ","Hanchet, S.M. & Haist V. 1994: Southern blue whiting ({\em Micromesistius australis}) fishery assessment for the 1994-95 fishing year. N.Z. Fisheries Assessment Research Document 94/22 41p. Annala, J.H. & Sullivan, K.J. (Comps) 1996: Report from the Fishery Assessment Plenary, April-May 1996: stock assessments and yield estimates. 308 p. (Unpublished report held in NIWA library, Wellington).","Enquiries to Dr S.M. Hanchet, NIWA, P.O. Box 14 901, Wellington, New Zealand. (Email: s.hanchet""at""niwa.cri.nz).","SPA","Tonnes","Millions","Tonnes","2-11","2",2,NA,NA,"1.2 - 1.7","","","","","","-51 30","170 00","10","0.2","0.36","0.77","","","","","33 - 40","35 - 42","3.5","","","","2","","","","","","","47.6 cm","0.35","-0.93","51.5","0.32","-1.03","Parameters convert length in cm to wt in g.","","","0.00515","3.092","0.00407","3.152",16,16,14
"SCALL5Ze",NA,"Sea scallop","Placopecten magellanicus","Placopecten magellanicus","Prionodesmacea","Pectinidae","Scallops","marine","shellfish","Canada","Canada East Coast","NAFO 5Ze","Mohn, R. K., G. Robert, and D. L. Roddick. 1987. Georges Bank scallop stock assessment. CAFSAC Res. Doc. 87/9: 23 p.","SPA, 3 year olds in (000 000's)","SPA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA",NA,"40 40","-67 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0
"SCALLGB","SCALLGB","Sea scallop","Placopecten magellanicus","Placopecten magellanicus","Prionodesmacea","Pectinidae","Scallops","marine","shellfish","USA","US East Coast","Georges Bank","McGarvey, R., F. M. Serchuk, and I.A. McLaren. 1993. Spatial and parent-age analysis of stock-recruitment in the Georges Bank sea scallop({\it Placopecten magellanicus}) population. Can. J. Fish. Aquat. Sci. 50: 564-574.","age 5+ used for SSB","RV","1e15 eggs","Millions",NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"41 30","-67 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10
"SCRABHIUN",NA,"Swimming crab","Portunus trituberculatus","Portunus trituberculatus","Decapoda","Lithodidae","Spiny crabs","marine","shellfish","Asia","Japan","Hiuchi Nada, Seto Island Sea","Shiota, Kohji. 1993. Relationship between Annual Catch Fluctuations and Reproduction in the Swimming Crab in Hiuchi Nada, the Seto Inland Sea.  Nippon Suisan Gakkaishi 59(10), 1709-1715",NA,"CPUE","Tonnes","Tonnes","Tonnes",NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"34 20","133 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10
"SCUP","SCUPNWATLC","Scup","Stenotomus chrysops","Stenotomus chrysops","Perciformes","Sparidae","Porgies","marine","finfish","USA","US East Coast","Cape Cod - Cape Hatteras USA","Northeast Fisheries Science Center. 1995. Report of the 19th Regional Stock Assessment Workshop (19th SAW), The Plenary.  NEFSC Reference Document 95-09/SAW 19. pp 96-107",NA,"SPA","Tonnes","Thousands","Tonnes","2-6","0",0,NA,NA,NA,NA,NA,NA,NA,"Coastal waters","39 00","-74 30","5-8","0.20","0.14","0.23",NA,"2.5439",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10
"SDOGBLACK",NA,"Spiny dogfish","Squalus acanthias","Squalus acanthias","Squaliformes","Squalidae","Dogfish sharks","marine","finfish","Europe","Europe","Black Sea","Prodanov, K.; Mikhailov,K.; Daskalov, G.; Maxim, C.; Cashchin, A.; Shlyakhov, V.; Ozdamar, E.  Environmental management of fish resources in the Black Sea and their rational exploitation.  Studies and Reviews. General Fisheries Council for the Mediterranean.  No.68. Rome, FAO. 1997. pp 16-22","age-specific mortality between ages 4 and 19 is  m_c(0.24,0.20,0.14,0.12,0.10,0.09,0.07,0.05,0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.04)","SPA","Millions","Millions","Tonnes","14-19","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"43 30","35 00",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,"13","10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,17
"SDOGNWATL","SDOGATLC","Spiny dogfish","Squalus acanthias","Squalus acanthias","Squaliformes","Squalidae","Dogfish sharks","marine","finfish","Atlantic Ocean","North Atlantic","Northwest Atlantic","Silva, H. M. 1993. The causes of variability in the stock-recruitment relationship of spiny dogfish, {\it Squalus acanthias}, in the NW Atlantic. ICES Doc. C.M. 1993/G: 52.","SSB is the smooth biomass indices.","RV","Mean kg per tow","Mean numbers per tow",NA,NA,"2",2,NA,"ovoviviparous","45","280",NA,NA,NA,NA,"42 00","-66 00",NA,NA,NA,NA,NA,NA,NA,NA,"60","80","13","6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,23,21
"SDOGNWATL2","SDOGATLC","Spiny dogfish","Squalus acanthias","Squalus acanthias","Squaliformes","Squalidae","Dogfish sharks","marine","finfish","Atlantic Ocean","North Atlantic","Northwest Atlantic","26th Northeast Regional Stock Assessment Workshop, NMFS, Woods Hole",NA,"RV","Thousand tonnes","Thousand tonnes","Tonnes","3+","1",1,NA,"ovoviviparous","45","280",NA,NA,NA,NA,"42 00","-66 00",NA,"0.092",NA,NA,NA,NA,NA,NA,"60","80","13","6","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,29
"SEELNNS",NA,"Sandeel","Ammodytes marinus","Ammodytes marinus","Perciformes","Ammodytidae","Sandeels and sandlances","marine","finfish","Europe","Europe","Northern North Sea","Anon. 1990. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1990/Assess: 13.; Anon. 1991. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1991/Assess: 14.",NA,"SPA","Tonnes","Millions","Thousand tonnes",NA,"0",0,"Demersal","Oviparous, demersal, adhesive","0.92","3.6",NA,NA,NA,"Shelf","58 00","4 00",NA,"0.40",NA,NA,NA,NA,"Warburton, K. 1982. Sandeels - the elusive species.  Scott. Fish. Bull. 47:22-27",NA,NA,NA,"2",NA,NA,"7-9cm",NA,NA,NA,"Reay P.J. FAO Fisheries Synopsis No.82 (1970)","21.8","0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,14
"SEELSHET",NA,"Sandeel","Ammodytes marinus","Ammodytes marinus","Perciformes","Ammodytidae","Sandeels and sandlances","marine","finfish","Europe","England","Shetland","Anon. 1990. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1990/Assess: 13.; Anon. 1991. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1991/Assess: 14.",NA,"SPA","Tonnes","Billions","Thousand tonnes","1-3","0",0,"Demersal 20-40m","Oviparous, demersal, adhesive","0.92","3.6",NA,NA,NA,"Shelf","60 30","-1 00",NA,"0.843",NA,NA,NA,NA,"Warburton, K. 1982. Sandeels - the elusive species.  Scott. Fish. Bull. 47:22-27 & Gauld, J.A. & Hucheon, J.R. 1990. Spawning and fecundity in the lesser sandeel,  Ammodytes marinus Raitt, in the north-western North Sea. J. Fish Biol. 36:611-613.",NA,"113","110","2",NA,NA,"7-9cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gauld, J.A. & Hucheon, J.R. 1990. Spawning and fecundity in the lesser sandeel,  Ammodytes marinus Raitt, in the north-western North Sea. J. Fish Biol. 36:611-613.",NA,NA,"-6.45","3.43","-6.30","3.39",17,16,16
"SEELSNS",NA,"Sandeel","Ammodytes marinus","Ammodytes marinus","Perciformes","Ammodytidae","Sandeels and sandlances","marine","finfish","Europe","Europe","Southern North Sea","Anon. 1990. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1990/Assess: 13.; Anon. 1991. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1991/Assess: 14.",NA,"SPA","Tonnes","Millions","Thousand tonnes",NA,"0",0,"Demersal","Oviparous, demersal, adhesive","1.02","3.6",NA,NA,NA,"Shelf","52 30","3 30","12","0.40",NA,NA,NA,NA,"Warburton, K. 1982. Sandeels - the elusive species.  Scott. Fish. Bull. 47:22-27",NA,NA,NA,"2",NA,NA,"7-9cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,14
"SEELVI",NA,"Sandeel","Ammodytes marinus","Ammodytes marinus","Perciformes","Ammodytidae","Sandeels and sandlances","marine","finfish","Europe","Europe","ICES VIa","Anon. 1990. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1990/Assess: 13.; Anon. 1991. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1991/Assess: 14.",NA,"SPA","Tonnes","Billions","Tonnes","1-3","0",0,"Demersal","Oviparous, demersal, adhesive","0.92","3.6",NA,NA,NA,"Shelf","57 15","-11 00",NA,"0.40",NA,NA,NA,NA,"Warburton, K. 1982. Sandeels - the elusive species.  Scott. Fish. Bull. 47:22-27",NA,NA,NA,"2-3",NA,NA,"7-9cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,10
"SFLOUNDMAB","SFLOUNMATLC","Summer flounder","Paralichthys dentatus","Paralichthys dentatus","Pleuronectiformes","Bothidae","Lefteye flounders","marine","finfish","USA","US East Coast","Middle Atlantic Bight","Anon. 1990. Report of the Eleventh NEFC Stock Assessment Workshop, Fall 1990. NEFC Reference Document 90-09.; Anon. 1992. NEFC Reference Document 92-02.","F summed through 5","SPA","Tonnes","Thousands","Tonnes","0-5","0",0,"Demersal","Oviparous, pelagic","0.88-1.10","2.41-2.82","15",NA,NA,"Shelf, offshore 20-48m","38 00","-73 00","9-2","0.2","","0.23",NA,NA,"Morse, W.W. 1981. Reproduction of the summer flounder, Paralichthys dentatus (L.). J.Fish. Biol. 19:189-203",NA,"24-27","30-33",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9
"SHADBLACK",NA,"Black Sea shad","Alosa kessleri","Alosa kessleri","Clupeiformes","Clupeidae","Herrings","freshwater","finfish","Europe","Europe","Black Sea","Prodanov, K.; Mikhailov,K.; Daskalov, G.; Maxim, C.; Cashchin, A.; Shlyakhov, V.; Ozdamar, E.  Environmental management of fish resources in the Black Sea and their rational exploitation.  Studies and Reviews. General Fisheries Council for the Mediterranean.  No.68. Rome, FAO. 1997. pp 33-38","natural mortality is assumed to vary with age, for ages 1 to 7 m = 0.35 0.35 0.35 0.35 0.70 2.70, this is the Danube population, I tried to calculate KGPRECF0 (my estimate was 0.23829) but this makes not sense. My guess is the spawning proportion is actually much less than assumed here (all spawners above age 3) because of high mortality due to fishing in the river. R. A. Myers","SPA","Tonnes","Millions","Tonnes","3-6","1",1,NA,NA,NA,NA,NA,NA,NA,"Freshwater, in rivers","44 30","27 00",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,22
"SHAKE4VWX","SHAKE4VWX","Silver hake","Merluccius bilinearis","Merluccius bilinearis","Gadiformes","Gadidae","Codfishes","marine","finfish","Canada","Canada East Coast","NAFO 4VWX","Fanning, L. P., D. E. Waldron, and C. Bourbonnais. 1987. Scotian shelf silver hake population size in 1986. NAFO SCR Doc. 87/56: 24 p.; Waldron, D. E., M. A. Showell, and Glen Harrison. 1991. Status of the Scotian shelf silver hake (whiting) population in 1990. NAFO SCR Doc. 91/42: 34 p.; NAFO SCR Doc. 92/50.","SPA, 1 year olds in (000's), Rec age is for 76 on","SPA","Tonnes","Thousands","Thousands Tonnes","2-6","1",1,NA,NA,".91","3","20","17","18.7",NA,"44 10","-59 00",NA,"0.40","0.72",NA,NA,"0.38",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,13
"SHAKE5Ze",NA,"Silver hake","Merluccius bilinearis","Merluccius bilinearis","Gadiformes","Gadidae","Codfishes","marine","finfish","Canada","Canada East Coast","NAFO 5Ze","Almeida. 1987. Woods Hole Ref. Doc. 87-03.; Anon. 1990. Report of the Eleventh NEFC Stock Assessment Workshop, Fall 1990. NEFC Ref. Doc. 90-09.","SPA, 1 year olds in (000 000's),F is unweighted average","SPA","Thousand tonnes","Millions",NA,"3+","1",1,NA,NA,".91","3","20","17","18.7",NA,"40 40","-67 50",NA,".40",NA,NA,NA,"0.48",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,34,33
"SHAKEMAB","SHAKESGBMATL","Silver hake","Merluccius bilinearis","Merluccius bilinearis","Gadiformes","Gadidae","Codfishes","marine","finfish","USA","US East Coast","Mid Atlantic Bight","Almeida. 1987. Woods Hole Ref. Doc. 87-03.; Anon. 1990. Report of the Eleventh NEFC Stock Assessment Workshop, Fall 1990. NEFC Ref. Doc. 90-09.","SPA, 1 year olds in (000 000's),F is unweighted average","SPA","Thousand tonnes","Millions",NA,"3+","1",1,NA,NA,"0.91","3","20","17","18.7",NA,"38 00","-73 00",NA,".40",NA,NA,NA,"0.45",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,34,33
"SMOUTHBASSCOURTOIS",NA,"Smallmouth bass","Micropterus dolomieu","Micropterus dolomieui","Perciformes","Centrarchidae","Sunfishes","anadromous","finfish","USA","US Missouri","Courtois Creek, Missouri","J. L. Funk and W. L. Pflieger. 1975. Management by water level manipulation. pp 224-269. In Black Bass Biology and Management.  R. H. Stroud and H. Clepper, ed. Sport fishing Institute, Washington, D. C.",NA,"SPA",NA,"Number per acre",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"37 52","-91 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
"SMOUTHBASSHURON",NA,"Smallmouth bass","Micropterus dolomieu","Micropterus dolomieui","Perciformes","Centrarchidae","Sunfishes","anadromous","finfish","USA","Laurentian Great Lakes","Baie du Dore, Lake Huron,","D. A. Wismer. 1980. The impact of thermal effluents on smallmouth bass reproductive success at Baie du Dore, Lake Huron. Master thesis, University of Toronto, Toronto, Ontario ; G. V. Hurley. 1975. The reproductive success and early growth of smallmouth bass, Micropterus Dolomni lacepede, at Baie du Dore, Lake Huron, Ontario. Master thesis, University of Toronto, Toronto, Ontario",NA,"SPA",NA,"Numbers",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"44 21","-81 34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0
"SMOUTHBASSSBAY",NA,"Smallmouth bass","Micropterus dolomieu","Micropterus dolomieui","Perciformes","Centrarchidae","Sunfishes","anadromous","finfish","Canada","Laurentian Great Lakes","South Bay, Manitoulin Island, Canada","Fry, F.E.J.  and K.E.F. Watt. 1957. Yields of year class of the small mouth bass hatched in the decade of 1940 in Manitoulin Island waters. Trans. Am. Fish. Soc. 85: 135-143.",NA,"SPA",NA,"Numbers",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"45 50","-82 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
"SNAPPSWCUBA",NA,"Silk snapper","Lutjanus synagris","Lutjanus synagris","Perciformes","Lutjanidae","Snappers","marine","finfish","Caribbean","Cuba","Zone B - Cuba","Carillo de Albornoz, C. 1979. Rev. Cuba. Inv. Pesq 4(4).",NA,"SPA","Hundreds tonnes","Millions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19 45","-74 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17
"SOCKADAM",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Adams Complex, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.",NA,"SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"50 54","-119 33",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,39,39
"SOCKADAM2",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Adams Complex, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.","This file is Effective females to Recruits (not just female recruits)","SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"50 54","-119 33",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,43,43
"SOCKBAB",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Babine Lake, B.C.","MacDonald, P.D.M., H.D. Smith, and L. Jantz. 1987. The utility of Babine smolt enumerations in management of Babine and other Skeena River sockeye salmon (Oncorhynchus nerka) stocks, p. 280-295. In: H.D. Smith, L. Margolis, and C.C. Wood (eds.). Sockeye salmon (Oncorhynchus nerka) population biology and future management. Can. Spec. Publ. Fish. Aquat. Sci. 96","Complied from Table 1 (Total run (b)) and Table 2 (Combined)","MR / Count","Millions of Smolt","Fish",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"54 40","-126 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,23
"SOCKBAB2",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Babine Lake, B.C.","McDonald, J., and J.M. Hume. 1984. Babine Lake sockeye salmon (Oncorhynchus nerka) enhancement program: testing some major assumptions. Can. J. Fish. Aquat. Sci. 41:70-92. Table 1, updated with Table 3 in MacDonald, P.D.M., H.D. Smith, and L. Jantz. 1987. The utility of Babine smolt enumerations in management of Babine and other Skeena River sockeye salmon (Oncorhynchus nerka) stocks, p. 280-295. In: H.D. Smith, L. Margolis, and C.C. Wood (eds.). Sockeye salmon (Oncorhynchus nerka) population biology and future management. Can. Spec. Publ. Fish. Aquat. Sci. 96",NA,"MR / Count","Millions of Fry","Millions of Smolt",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"54 40","-126 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,23
"SOCKBAB3",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Babine Lake, B.C.","Foerster, R.E. 1968. The Sockeye Salmon, Oncorhynchus nerka. Fish. Res. Board of Can. Bulletin 162. Table 85",NA,"MR / Count","Millions of Eggs","Millions of Smolt",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"54 40","-126 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,10
"SOCKBIRK",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Birkenhead River, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.",NA,"SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"50 00","-122 00",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,39,39
"SOCKBIRK2",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Birkenhead River, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.","This file is effective females to recruits(not female recruits)","SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"50 00","-122 00",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,43,43
"SOCKBLA",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","USA","US Alaska","Black Lake, Alaska","International North Pacific Fisheries Commission. 1974. Information on recent changes in the salmon fisheries of Alaska and the condition of the stocks. INPFC Bull. 29: 37 p. ; D.E. Rogers, Fisheries Research inst. University of Wasington, compiled from the Alaska Fish and Game Reports","Data from table 13, page 67.","SR","Millions of fish","Millions of fish",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"56 29","-159 00",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38,38
"SOCKBRA",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","USA","US Alaska","Branch River, Alaska","International North Pacific Fisheries Commission. 1974. Information on recent changes in the salmon fisheries of Alaska and the condition of the stocks. INPFC Bull. 29: 37 p. , Updated with information from the Alaskan department of fisheries and games.","Data from table 20, page 81.","SR","Thousands of fish","Thousands of fish","Millions of fish",NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"58 40","-157 00",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33
"SOCKBRIS",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","USA","US Alaska","Bristol Bay, Alaska","International North Pacific Fisheries Commission. 1974. Comments on INPFC Document 1350 (Japan, 1970). INPFC Bull. 29: 170 p.","Data from table 1, page 171.  Results calculated including estimates of high seas catches.","SR","Millions of fish","Millions of fish",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"58 00","-159 00",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,45,45
"SOCKCHI",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","USA","US Alaska","Chignik Lake, Alaska","International North Pacific Fisheries Commission. 1974. Information on recent changes in the salmon fisheries of Alaska and the condition of the stocks. INPFC Bull. 29: 37 p.; D.E. Rogers, Fisheries Research inst. , Univ. of Washington , compiled from Alaska Fish and Game Reports","Data from table 13, page 67.","SR","Millions of fish","Millions of fish",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"56 17","-158 38",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38,38
"SOCKCHIK",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Chilko River, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.",NA,"SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"52 06","-123 27",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,39,39
"SOCKCHIL2",NA,"Sockeye salmon","Oncorhynchus nerka","Oncorhynchus nerka","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada West Coast","Chilko River, B.C.","Pers. Comm. with A. J. Cass, DFO, Pacific Biological Station, Nanaimo, B.C.","This is EF to Recruits(not female recruits like original file)","SR","Fish","Fish","Fish","4","4",4,NA,NA,NA,NA,NA,NA,NA,NA,"52 06","-123 27",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,43,43
